script,nominal_waves,period_steps,actual_cycles_after_start,step,schedule_ratio,wsd_ratio,block_lr,gamma_lr
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,95,1.0,0.096,0.0001728,0.0001728
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,96,1.0,0.097,0.0001746,0.0001746
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,97,1.0,0.098,0.0001764,0.0001764
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,98,1.0,0.099,0.0001782,0.0001782
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,99,1.0,0.1,0.00018,0.00018
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,100,1.0,0.101,0.0001818,0.0001818
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,101,1.0,0.102,0.0001836,0.0001836
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,102,1.0,0.103,0.00018539999999999998,0.00018539999999999998
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,103,1.0,0.104,0.0001872,0.0001872
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,104,1.0,0.105,0.00018899999999999999,0.00018899999999999999
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,105,1.0,0.106,0.0001908,0.0001908
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,106,1.0,0.107,0.0001926,0.0001926
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,107,1.0,0.108,0.00019439999999999998,0.00019439999999999998
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,108,1.0,0.109,0.0001962,0.0001962
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,109,1.0,0.11,0.000198,0.000198
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,110,1.0,0.111,0.0001998,0.0001998
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,111,1.0,0.112,0.0002016,0.0002016
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,112,1.0,0.113,0.0002034,0.0002034
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,113,1.0,0.114,0.0002052,0.0002052
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,114,1.0,0.115,0.000207,0.000207
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,115,1.0,0.116,0.0002088,0.0002088
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,116,1.0,0.117,0.0002106,0.0002106
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,117,1.0,0.118,0.00021239999999999999,0.00021239999999999999
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,118,1.0,0.119,0.00021419999999999998,0.00021419999999999998
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,119,1.0,0.12,0.000216,0.000216
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,120,1.0,0.121,0.00021779999999999998,0.00021779999999999998
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,121,1.0,0.122,0.0002196,0.0002196
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,122,1.0,0.123,0.0002214,0.0002214
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,123,1.0,0.124,0.0002232,0.0002232
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,124,1.0,0.125,0.000225,0.000225
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,125,1.0,0.126,0.00022679999999999998,0.00022679999999999998
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,126,1.0,0.127,0.0002286,0.0002286
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,127,1.0,0.128,0.0002304,0.0002304
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,128,1.0,0.129,0.0002322,0.0002322
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,129,1.0,0.13,0.000234,0.000234
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,130,1.0,0.131,0.0002358,0.0002358
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,131,1.0,0.132,0.0002376,0.0002376
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,132,1.0,0.133,0.00023940000000000002,0.00023940000000000002
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,133,1.0,0.134,0.0002412,0.0002412
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,134,1.0,0.135,0.000243,0.000243
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,135,1.0,0.136,0.0002448,0.0002448
